0.115992 0.038416 0.070619 0.046768 0.094368 0.071931 0.009368 0.021441 0.050684 0.000000 0.037096 0.125357 0.064355 0.000000 0.000000 0.031307 0.013454 0.046768 0.037096 0.000000 0.000000 0.253676 0.000000 0.000000 0.000000 
0.046603 0.138913 0.000000 0.028186 0.056873 0.008670 0.000000 0.077531 0.101818 0.012539 0.022356 0.000000 0.000000 0.200906 0.031307 0.000000 0.000000 0.000000 0.022356 0.162327 0.011651 0.000000 0.018194 0.020708 0.037385 
0.385516 0.027858 0.051819 0.060562 0.061100 0.011177 0.082485 0.011106 0.043755 0.021554 0.086466 0.082639 0.096298 0.006641 0.013454 0.000000 0.000000 0.048449 0.043233 0.000000 0.065087 0.006257 0.054729 0.115685 0.008033 
0.069618 0.013834 0.031789 0.105263 0.099119 0.148946 0.109635 0.067561 0.053235 0.000000 0.025048 0.133377 0.038625 0.092345 0.046768 0.000000 0.048449 0.000000 0.183684 0.000000 0.008702 0.000000 0.054358 0.000000 0.027924 
0.027610 0.016460 0.033619 0.050096 0.044925 0.087322 0.080272 0.022966 0.102547 0.000000 0.019868 0.097655 0.030637 0.018312 0.037096 0.022356 0.043233 0.183684 0.000000 0.000000 0.013805 0.017252 0.021558 0.012268 0.033223 
0.122510 0.239022 0.013561 0.188605 0.172159 0.000000 0.032380 0.037057 0.068132 0.095893 0.000000 0.039392 0.000000 0.000000 0.000000 0.162327 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.069568 0.000000 0.089343 
0.068345 0.017155 0.004380 0.000000 0.005853 0.000000 0.013944 0.000000 0.050298 0.000000 0.131147 0.008482 0.000000 0.009543 0.000000 0.011651 0.065087 0.008702 0.013805 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.026972 0.014293 0.027369 0.032626 0.021944 0.053525 0.017426 0.000000 0.000000 0.000000 0.051757 0.074200 0.013302 0.000000 0.253676 0.000000 0.006257 0.000000 0.017252 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.112345 0.053580 0.000000 0.000000 0.018280 0.016721 0.119763 0.024920 0.058909 0.000000 0.021558 0.000000 0.000000 0.029804 0.000000 0.018194 0.054729 0.054358 0.021558 0.069568 0.000000 0.000000 0.000000 0.000000 0.090123 
0.102295 0.010164 0.046710 0.000000 0.000000 0.009516 0.012392 0.099273 0.044699 0.000000 0.184025 0.000000 0.037837 0.033923 0.000000 0.020708 0.115685 0.000000 0.012268 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.080797 0.091747 0.035136 0.055847 0.103297 0.008589 0.055930 0.064008 0.030261 0.149071 0.000000 0.040825 0.034154 0.061242 0.000000 0.037385 0.008033 0.027924 0.033223 0.089343 0.000000 0.000000 0.090123 0.000000 0.000000 
